STAGE,VERSION,MATERIAL,ORDER TYPE,MATERIAL DESCR.,PRO QUANITY,ORDER VALUE,COMPONENT,COMPONENT DESCR.,COST CENTER,MOVEMENT TYPE,COMPONENT QTY.,COMPONENT VALUE,REMARK
BPBMZ0000250KG,1,BPBMZ0000250KG,ZPKL,Bromobenzene 250 Kg Drums,"88,000.000",0.00,BPBMZ000000001,Bromobenzene,BROM069L,,"88,000.000",0,
,,BPBMZ0000250KG,ZPKL,,,,,,,,"88,000.000",0,
,,BPBMZ0000250KG,,,,,,,,,"88,000.000",0,
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000","25,11,24,000.00",00700005,ACETIC ACID,ACTPE079L,,"11,490.000","11,06,501.48",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700070,BUTYL CELLOSOLVE,ACTPE079L,,"2,46,207.000","4,82,26,441.16",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700200,DICHLOROETHANE -DCE,ACTPE079L,,"44,742.000","28,13,567.56",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700450,MCA,ACTPE079L,,"2,14,550.000","2,47,68,709.28",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700496,NA - TCPOL,ACTPE079L,,"2,62,084.000","11,04,56,455.47",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700572,PTSA,ACTPE079L,,"5,050.000","4,00,441.37",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700730,SODA ASH,ACTPE079L,,"18,450.000","6,17,636.69",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700735,SODIUM BICARBONATE - GRADE A-,ACTPE079L,,"64,800.000","18,84,668.85",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700765,SODIUM SULPHITE,ACTPE079L,,"9,275.000","2,98,384.23",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00700816,TETRA BUTYL AMMONIUM,ACTPE079L,,"16,950.000","83,70,272.11",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00705100,CHLORINE,ACTPE079L,,"32,200.000","2,22,047.24",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00750085,CAUSTIC SODA LYE,ACTPE079L,,"11,955.000","7,55,966.2",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00750500,HEXANE,ACTPE079L,,"1,10,394.000","56,45,543.67",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,00750790,SULPHURIC ACID,ACTPE079L,,"4,49,502.000","72,48,219.27",
FGACTPE0000001,0002,FGACTPE0000001,ZPI2,ACTP Ester Technical,"6,00,000.000",0.00,FGNATCPOL00001,Sodium salt of trichloro pyradinol,ACTPE079L,,"1,98,564.000","4,68,61,104",
,,FGACTPE0000001,ZPI2,,,,,,,,"16,96,213.000","25,96,75,958.58",
,,FGACTPE0000001,,,,,,,,,"16,96,213.000","25,96,75,958.58",
FGACTPE0000001,0002,FGACTPE00250KG,ZPKL,Triclopyr Butotyl Ester Technical –250KG,"1,45,500.000","6,08,97,570.00",FGACTPE0000001,ACTP Ester Technical,ACTPE079L,,"1,45,500.000","6,08,97,570",
,,FGACTPE00250KG,ZPKL,,,,,,,,"1,45,500.000","6,08,97,570",
,,FGACTPE00250KG,,,,,,,,,"1,45,500.000","6,08,97,570",
FGACTPE0000001,0002,FGACTPE01250KG,ZPKL,Triclopyr Butotyl Ester Technical,"5,27,500.000","22,07,79,850.00",FGACTPE0000001,ACTP Ester Technical,ACTPE079L,,"5,27,500.000","22,07,79,850",
,,FGACTPE01250KG,ZPKL,,,,,,,,"5,27,500.000","22,07,79,850",
,,FGACTPE01250KG,,,,,,,,,"5,27,500.000","22,07,79,850",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000","60,90,510.16",00730225,CABS 50 PER - CALCIUM SALT,AMN10E017L,,"2,095.000","3,77,090.11",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000",0.00,00730255,CASTOR OIL ETHELYNE,AMN10E017L,,894.000,"1,13,623.16",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000",0.00,00730461,SP 15,AMN10E017L,,518.000,"65,069.47",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000",0.00,00730462,SP 25,AMN10E017L,,518.000,"63,580.73",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000",0.00,00750770,SOLVENT C-9,AMN10E017L,,"36,447.000","22,64,385.12",
FGALF10EC00001,0001,FGALF10EC00001,ZPI2,Alphacypermethrin 10% EC Loose,"49,448.000",0.00,00770006,Alphacypermethrin Tech,AMN10E017L,,"4,893.000","40,21,126.16",
,,FGALF10EC00001,ZPI2,,,,,,,,"45,365.000","69,04,874.75",
,,FGALF10EC00001,,,,,,,,,"45,365.000","69,04,874.75",
FGALF10EC00001,0003,FGALF10EC0001L,ZPKL,Alphamethrin  10% EC 1 Ltr  - Alphaguard,"11,000.000","13,54,870.00",FGALF10EC00001,Alphacypermethrin 10% EC Loose,AMN10E017L,,"11,015.000","13,56,717.55",
,,FGALF10EC0001L,ZPKL,,,,,,,,"11,015.000","13,56,717.55",
,,FGALF10EC0001L,,,,,,,,,"11,015.000","13,56,717.55",
FGALF10EC00001,0001,FGALF10EC0200L,ZPKL,Alphamethrin 10% EC 200 Ltr - Alphaguard,"26,000.000","32,02,420.00",FGALF10EC00001,Alphacypermethrin 10% EC Loose,AMN10E017L,,"26,000.000","32,02,420",
,,FGALF10EC0200L,ZPKL,,,,,,,,"26,000.000","32,02,420",
,,FGALF10EC0200L,,,,,,,,,"26,000.000","32,02,420",
FGALF10EC00001,0001,FGALF10EC100ML,ZPKL,Alphamethrin 10% EC 100 ML - Alphaguard,"2,720.000","3,35,022.40",FGALF10EC00001,Alphacypermethrin 10% EC Loose,AMN10E017L,,"2,741.000","3,37,608.97",
,,FGALF10EC100ML,ZPKL,,,,,,,,"2,741.000","3,37,608.97",
,,FGALF10EC100ML,,,,,,,,,"2,741.000","3,37,608.97",
FGALF10EC00001,0001,FGALF10EC250ML,ZPKL,Alphamethrin 10% EC 250 ML - Alphaguard,"2,160.000","2,66,047.20",FGALF10EC00001,Alphacypermethrin 10% EC Loose,AMN10E017L,,"2,160.000","2,66,047.2",
,,FGALF10EC250ML,ZPKL,,,,,,,,"2,160.000","2,66,047.2",
,,FGALF10EC250ML,,,,,,,,,"2,160.000","2,66,047.2",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000","2,76,856.14",00700201,DI ETHYLENE GLYCOL,AMN10S161L,,195.000,"15,426.7",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00700701,XANTHAN GUM,AMN10S161L,,3.000,693.45,
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00700720,SILICA PRECIPITATED,AMN10S161L,,80.000,"4,424",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00701014,PROXEL GXL,AMN10S161L,,22.000,"12,950.27",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00730177,DEFOAMER 2210,AMN10S161L,,23.000,"5,135.21",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00730772,UNITOP-203,AMN10S161L,,97.000,"24,960.52",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00730773,NEOSURF-FL,AMN10S161L,,59.000,"10,026.89",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,00770006,Alphacypermethrin Tech,AMN10S161L,,165.000,"1,35,818.12",
FGALF10SC00001,0001,FGALF10SC00001,ZPI2,Alphacypermethrin 10 %  SC unpack,"2,181.000",0.00,FGALF20SCV0001,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,AMN10S161L,,400.000,"79,588",
,,FGALF10SC00001,ZPI2,,,,,,,,"1,044.000","2,89,023.16",
,,FGALF10SC00001,,,,,,,,,"1,044.000","2,89,023.16",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000","46,45,352.59",00700201,DI ETHYLENE GLYCOL,AMN20S956L,,"2,424.000","1,91,765.77",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00700701,XANTHAN GUM,AMN20S956L,,39.000,"9,014.91",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00701014,PROXEL GXL,AMN20S956L,,122.000,"71,815.14",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00730177,DEFOAMER 2210,AMN20S956L,,241.000,"53,808.1",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00730772,UNITOP-203,AMN20S956L,,"1,209.000","3,11,105.79",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00730773,NEOSURF-FL,AMN20S956L,,729.000,"1,29,201.45",
FGALF20SCV0001,0001,FGALF20SCV0001,ZPI2,ALPHACYPERMTHRIN 20%SC W/V - Unpacked,"23,347.000",0.00,00770006,Alphacypermethrin Tech,AMN20S956L,,"4,938.000","40,55,763.37",
,,FGALF20SCV0001,ZPI2,,,,,,,,"9,702.000","48,22,474.53",
,,FGALF20SCV0001,,,,,,,,,"9,702.000","48,22,474.53",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000","99,53,540.38",00700112,COMMON SALT,ANILOP036L,,400.000,"4,000.02",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,00700740,SODIUM BI SULPHITE,ANILOP036L,,102.000,"3,399.3",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,00750085,CAUSTIC SODA LYE,ANILOP036L,,"3,064.000","1,88,416.99",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,00750490,MIXED XYLENE,ANILOP036L,,"1,532.000","93,766.43",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,BPHCL000000001,SPENT HCL,ANILOP036L,,"-3,404.000",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,BPNASH0000001,NaSH,ANILOP036L,,"-8,509.000",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,EFANF000000001,Anilofos NH4Cl wash (Hydraulic load),ANILOP036L,,"-24,952.786",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,EFANF000000004,NaOH wash (Hydraulic load),ANILOP036L,,"-21,398.801",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,EFANF000000007,1st Water wash (Hydraulic load),ANILOP036L,,"-21,398.801",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,EFANF000000010,2nd Water wash (Hydraulic load),ANILOP036L,,"-21,398.801",0,
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,IMANILIDE00003,Anilide,ANILOP036L,,"24,278.000","1,36,99,907.51",
FGANF000000001,0001,FGANF000000001,ZPI2,Anilofos Technical,"34,042.000",0.00,IMNH4DMTA00001,NH4DMTA,ANILOP036L,,"19,447.000","27,87,082.08",
,,FGANF000000001,ZPI2,,,,,,,,"-52,239.189","1,67,76,572.33",
,,FGANF000000001,,,,,,,,,"-52,239.189","1,67,76,572.33",
FGANF000000001,0001,FGANF0000250KG,ZPKL,Anilofos Tech 250 Kg drum,"28,000.000","81,86,920.00",FGANF000000001,Anilofos Technical,ANILOP036L,,"28,000.000","81,86,920",
,,FGANF0000250KG,ZPKL,,,,,,,,"28,000.000","81,86,920",
,,FGANF0000250KG,,,,,,,,,"28,000.000","81,86,920",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000","38,79,360.00",00700201,DI ETHYLENE GLYCOL,ANIL30037L,,214.000,"16,929.81",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,00700724,SP 29,ANIL30037L,,856.000,"1,00,651.24",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,00730225,CABS 50 PER - CALCIUM SALT,ANIL30037L,,"1,284.000","2,31,113.96",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,00750490,MIXED XYLENE,ANIL30037L,,778.000,"47,617.69",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,00750770,SOLVENT C-9,ANIL30037L,,"11,206.000","6,95,410.87",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,FGANF000000001,Anilofos Technical,ANIL30037L,,"2,064.000","6,03,492.96",
FGANF30EC00001,0001,FGANF30EC00001,ZPI2,Anilofos  30 %EC,"21,600.000",0.00,FGANF0000250KG,Anilofos Tech 250 Kg drum,ANIL30037L,,"5,385.000","15,74,520.15",
,,FGANF30EC00001,ZPI2,,,,,,,,"21,787.000","32,69,736.68",
,,FGANF30EC00001,,,,,,,,,"21,787.000","32,69,736.68",
FGANF30EC00001,0001,FGANF30EC0005L,ZPKL,Anilofos 30% EC 5 Ltr-Aniloguard,"5,000.000","8,55,000.00",FGANF30EC00001,Anilofos  30 %EC,ANIL30037L,,"5,000.000","8,98,000",
,,FGANF30EC0005L,ZPKL,,,,,,,,"5,000.000","8,98,000",
,,FGANF30EC0005L,,,,,,,,,"5,000.000","8,98,000",
FGANF30EC00001,0001,FGANF30EC0200L,ZPKL,Anilofos 30% EC 200 Ltr,"16,000.000","28,73,600.00",FGANF30EC00001,Anilofos  30 %EC,ANIL30037L,,"16,000.000","28,73,600",
,,FGANF30EC0200L,ZPKL,,,,,,,,"16,000.000","28,73,600",
,,FGANF30EC0200L,,,,,,,,,"16,000.000","28,73,600",
FGCMN10EC00001,0001,FGCMN10EC00001,ZPI2,Cypermethrin  10 %EC,"4,218.000","5,24,677.02",00730225,CABS 50 PER - CALCIUM SALT,CMN10E016L,,213.000,"38,339",
FGCMN10EC00001,0001,FGCMN10EC00001,ZPI2,Cypermethrin  10 %EC,"4,218.000",0.00,00730461,SP 15,CMN10E016L,,88.000,"11,054.28",
FGCMN10EC00001,0001,FGCMN10EC00001,ZPI2,Cypermethrin  10 %EC,"4,218.000",0.00,00730462,SP 25,CMN10E016L,,88.000,"10,801.36",
FGCMN10EC00001,0001,FGCMN10EC00001,ZPI2,Cypermethrin  10 %EC,"4,218.000",0.00,00750770,SOLVENT C-9,CMN10E016L,,"3,026.000","1,88,109.64",
FGCMN10EC00001,0001,FGCMN10EC00001,ZPI2,Cypermethrin  10 %EC,"4,218.000",0.00,00770013,Cypermethrin Tech,CMN10E016L,,478.000,"3,41,468.71",
,,FGCMN10EC00001,ZPI2,,,,,,,,"3,893.000","5,89,772.99",
,,FGCMN10EC00001,,,,,,,,,"3,893.000","5,89,772.99",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000","16,76,45,922.60",00700007,4DAP,CPFTCR061L,,"1,341.000","19,57,524.58",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700052,BENZYL CHLORIDE,CPFTCR061L,,"3,004.000","2,24,032.88",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700114,PHASE TRANSFER CATAL,CPFTCR061L,,690.000,"1,45,952.76",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700184,O;O-DIETHYLPHOSPHORO CHLORIDOTHIOATE - D,CPFTCR061L,,"3,61,788.000","11,16,24,913.46",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700200,DICHLOROETHANE -DCE,CPFTCR061L,,"24,497.000","15,20,255.72",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700730,SODA ASH,CPFTCR061L,,"34,567.000","10,96,198.37",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700764,SODIUM SULPHIDE,CPFTCR061L,,50.000,"3,700.3",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,00700825,TOLUENE,CPFTCR061L,,"1,622.000","81,176.99",
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,EFCPF000000001,Condensation Main A/L (Hydraulic Load).,CPFTCR061L,,"-10,676.893",0,
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,EFCPF000000004,Condensation 1st water wash (Hydraulic L,CPFTCR061L,,"-3,055.268",0,
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,EFCPF000000007,Condensation 2nd water wash (Hydraulic L,CPFTCR061L,,"-2,909.465",0,
FGCPF000000001,0001,FGCPF000000001,ZPI2,Chloropyriphos 94,"6,43,505.000",0.00,IMNATCPOL00001,NaTCPOL,CPFTCR061L,,"4,26,151.000","12,60,43,585.25",
,0001,FGCPF000000001,,,,,,,,,"8,37,068.374","24,26,97,340.31",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000","5,47,09,200.00",00700007,4DAP,CPFTCR061L,,420.000,"6,13,287.13",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000",0.00,00700114,PHASE TRANSFER CATAL,CPFTCR061L,,"1,890.000","3,52,008.17",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000",0.00,00700184,O;O-DIETHYLPHOSPHORO CHLORIDOTHIOATE - D,CPFTCR061L,,"1,20,120.000","3,75,60,189.59",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000",0.00,00700200,DICHLOROETHANE -DCE,CPFTCR061L,,"9,450.000","5,89,927.82",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000",0.00,00700633,TETRA CHLORO PYRIDINE,CPFTCR061L,,"1,41,238.000","4,21,60,121.07",
FGCPF000000001,0002,FGCPF000000001,ZPI2,Chloropyriphos 94,"2,10,000.000",0.00,00750085,CAUSTIC SODA LYE,CPFTCR061L,,"59,220.000","36,01,985.57",
,0002,FGCPF000000001,,,,,,,,,"3,32,338.000","8,48,77,519.35",
,,FGCPF000000001,,,,,,,,,"11,69,406.374","32,75,74,859.66",
FGCPF000000002,0001,FGCPF000000002,ZPI2,Chloropyriphos 98,"6,00,000.000","18,17,10,000.00",00700475,METHANOL,CPFTPU058L,,"18,041.000","7,43,250.19",
FGCPF000000002,0001,FGCPF000000002,ZPI2,Chloropyriphos 98,"6,00,000.000",0.00,BPNATCPOL00001,UNREACTED  NATCPOL,CPFTPU058L,,"-3,140.000",0,
FGCPF000000002,0001,FGCPF000000002,ZPI2,Chloropyriphos 98,"6,00,000.000",0.00,FGCPF000000001,Chloropyriphos 94,CPFTPU058L,,"6,38,300.000","16,62,89,915.99",
,,FGCPF000000002,ZPI2,,,,,,,,"6,53,201.000","16,70,33,166.18",
,,FGCPF000000002,,,,,,,,,"6,53,201.000","16,70,33,166.18",
FGCPF055000001,0001,FGCPF055000001,ZPI2,Chlorpyriphos 50%+Cypermethrin 5%EC unpa,"32,975.000","75,29,181.75",00730229,Cabs 60 % in EHL,HAMLA068L,,"1,562.000","2,90,031.44",
FGCPF055000001,0001,FGCPF055000001,ZPI2,Chlorpyriphos 50%+Cypermethrin 5%EC unpa,"32,975.000",0.00,00730250,NONYL PHENOL ETHYLEN,HAMLA068L,,"2,247.000","3,17,248.23",
